sae_text,aae_text
She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,She can't get nothin' from me but some bubble gum and a hard time. I told her I'm tryna make a profit—I'm out here shootin' dice wit' her rent money!
"Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.","Yeah, that’s dope. Ain’t nothin’ like gettin’ dressed up and soakin’ up some culture, fam."
"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.","Mixed, huh!? Dem real dark knees an’ elbows gon’ tell on you every time, haha."
"#FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""","#FIGHT. Folks always askin, ""What you wanna be when you grow up?"" But let’s ask, ""What God call you to be?"""
Mike James from  isn't anything and he's really stupid. #nba #dallasmavs,Mike James from  ain’t nobody and he real dumb. #nba #dallasmavs
It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,It took somebody I ain’t even know to tell me he proud of what I’m doin’ and how I’m fightin’ for my kids!
I’m the type of person who would walk through the fire just to see how it burns!,I’m the type who’d walk through the fire just to see how it burn!
You all make fun of my jacket even though you know very well it was too small!,Y’all stay clownin’ my jacket even though y’all know damn well it was too small!
"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.","I want somethin’ that’s gon’ last a lifetime. When somebody ask how long we been together, I wanna be able to say over 30 years."
Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,Don’t be playin’ wit’ my feelings; you might get beat up or shot if you a dude.
""": Other than track and school, I don't do anything with my life. Loser :P""",": Besides track and school, I don’t be doin nothin wit my life. Lame af :P"
"Absolutely, I just received that same text, haha. : The phone bill is due in 3 days, wow!","Fa sho, I just got that same text, lol. : The phone bill due in 3 days, damn!"
"Who are you calling a bitch? I miss you all, lol. : The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!","Who you callin’ a bitch? I miss y’all, lol. : The folks in my sixth period class, ugh. <<<<<< Girl, shut up, dumb ass bitch!"
"So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!","So icy hip hop, Waka Flocka music... Ion need no metaphors—this real music fr!"
"You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!","You a real one fr. Thanks for always lookin’ out and takin’ care of me. You truly blessed by God, and I love you so much!"
"Call up to this school, I should have never taken myself to college. Forget that.","Call up to this school, I shoulda never took myself to college. Forget that."
Lol because I don't have any friends and everyone I need is right next to me. Lol.,Lol cuz I ain't got no friends and everybody I need right here wit me. Lol.
