aae_text,sae_text,aae_context,aae_continuation,sae_context,sae_continuation
Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit er rent money !,She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,Bitch cant get shit from me but bubble gum nd hard dick from me told da bitch im tryna make a flip im shootin dice wit,er rent money !,She can ' t get,anything from me except bubble gum and a hard time . I told her I ' m trying to make a profit — I ' m shooting dice with her rent money !
yes that's what's up. Nothin like getting dressed up and getting some culture man.,"Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",yes that ' s what ' s,up . Nothin like getting dressed up and getting some culture man .,"Yes , that ' s","great . There ' s nothing like getting dressed up and experiencing some culture , man ."
Mixed huh !? Those black ass knees and elbows will give you away every time lol,"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",Mixed huh ! ? Those black ass knees and elbows,will give you away every time lol,"Mixed , huh ! ? Those very dark knees and elbows will reveal your background every","time , haha ."
"""  #FIGHT. People ask what do you want to be when you grow up? let's ask what did God call you to be?""","#FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",""" # FIGHT . People","ask what do you want to be when you grow up ? let ' s ask what did God call you to be ? """,# FIGHT . People,"ask , "" What do you want to be when you grow up ? "" Let ' s ask , "" What did God call you to be ? """
The bul Mike James from  ain't shit n he dumb as shit. #nba #dallasmavs,Mike James from  isn't anything and he's really stupid. #nba #dallasmavs,The bul Mike James from ain ' t shit n he dumb as shit .,# nba # dallasmavs,Mike James from isn ' t anything and he,' s really stupid . # nba # dallasmavs
It took for a whole stranger to tell me he PROUD of what I'm doing n how I'm fighting for my babies!!!,It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,It took for a whole,stranger to tell me he PROUD of what I ' m doing n how I ' m fighting for my babies ! ! !,It took a complete,stranger to tell me he is proud of what I ’ m doing and how I ’ m fighting for my children !
I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!,I ' m the type that,would walk thru the fire to check the way it burn ! ! !,I ’ m the,type of person who would walk through the fire just to see how it burns !
yall pick on my jacket knowing damn well it was too small !!,You all make fun of my jacket even though you know very well it was too small!,yall pick on my jacket knowing damn well it was,too small ! !,You all make fun,of my jacket even though you know very well it was too small !
I want sumthn that's gonna last a life time when sumone ask how long we been together I wanna say over 30 years,"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",I want sumthn that,' s gonna last a life time when sumone ask how long we been together I wanna say over 30 years,I want something that,"’ s going to last a lifetime . When someone asks how long we ’ ve been together , I want to be able to say over 30 years ."
Don't play wit my feelings your liable to get your ass whooped or shot if u a nigga,Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,Don ' t play wit my feelings your,liable to get your ass whooped or shot if u a nigga,Don ’ t play with my feelings ; you ’ re,liable to get beaten up or shot if you ’ re a guy .
