sae_text,distilbert_score,vader_score,textblob_score
She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,-0.9991698265075684,-0.1759,-0.36458333333333337
"Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",0.9998154044151306,0.6898,0.8
"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",0.6906135082244873,0.5093,0.001666666666666668
"#FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",-0.9695006012916565,-0.3167,0.0
Mike James from  isn't anything and he's really stupid. #nba #dallasmavs,-0.9996716976165771,-0.5709,-0.7999999999999999
It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,0.9994707703590393,0.2244,0.55
I’m the type of person who would walk through the fire just to see how it burns!,-0.9410731196403503,-0.4003,0.0
You all make fun of my jacket even though you know very well it was too small!,-0.5268588662147522,0.7171,0.0625
"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",0.8278917074203491,0.1531,0.15
Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,-0.9967637062072754,-0.1027,-0.1
""": Other than track and school, I don't do anything with my life. Loser :P""",-0.9972813129425049,-0.5267,0.3125
"Absolutely, I just received that same text, haha. : The phone bill is due in 3 days, wow!",0.9285116791725159,0.7959,0.08
"Who are you calling a bitch? I miss you all, lol. : The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",-0.9935826659202576,-0.9151,0.16562500000000002
"So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",0.9984442591667175,0.0,0.075
"You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",0.9998725652694702,0.9818,0.61
"Call up to this school, I should have never taken myself to college. Forget that.",-0.993026852607727,-0.2263,0.0
Lol because I don't have any friends and everyone I need is right next to me. Lol.,0.9061108231544495,0.4671,0.4714285714285715
"Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",-0.9982860684394836,-0.4728,-0.5571428571428572
Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,0.9942591190338135,0.8176,0.3
"Should I stay or should I go, but no matter how hard I try, I can't walk away.",0.9443382024765015,-0.1806,-0.2916666666666667
The moral of the story is that everyone has had someone they would run back to.,-0.8861625790596008,0.0,0.0
"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",-0.6211485862731934,0.3506,0.0
"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",-0.9842966198921204,0.0,0.2
"Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",0.9993352293968201,0.7345,0.1722727272727273
"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",-0.9996763467788696,-0.5411,-0.140625
The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,-0.93201744556427,0.6503,0.2777777777777778
For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,0.9994332194328308,0.6103,-0.07777777777777779
"My pastor is amazing today! We are diving in! Preach, ! I’m completely committed!",0.999782145023346,0.8253,0.5625
Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,-0.9959427714347839,-0.2023,0.08333333333333334
Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,-0.995644211769104,-0.4516,0.0
"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",-0.9910753965377808,0.8402,0.175
Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,0.9991348385810852,0.5719,0.31666666666666665
Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,0.9925076365470886,0.8856,0.07013888888888889
Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,0.9998043179512024,0.7897,0.3
Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,-0.9966562986373901,0.0,0.0
"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",0.995112955570221,0.6808,0.4583333333333333
#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),-0.987779974937439,0.0,0.0
"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",-0.9951468110084534,0.6856,0.0
"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!",-0.9988211989402771,0.2148,0.2809523809523809
