layer_id,proj_mean_SAE,proj_std_SAE,proj_mean_AAE,proj_std_AAE,mean_gap_AAE_minus_SAE,is_best_layer
1,-0.62841796875,0.08929443359375,-0.405517578125,0.12359619140625,0.222900390625,0
2,-5.27734375,4.3203125,-4.328125,4.06640625,0.94921875,0
3,-5.828125,3.80078125,-4.72265625,3.62109375,1.103515625,0
4,-35.21875,12.421875,-32.9375,11.21875,2.2734375,0
5,-33.46875,11.3984375,-30.984375,10.375,2.478515625,0
6,-135.25,43.125,-131.0,37.21875,4.22265625,0
7,-127.125,40.0,-122.5625,34.53125,4.53125,0
8,-119.0625,36.8125,-114.1875,31.84375,4.8671875,0
9,-110.5,33.5,-105.0,29.03125,5.52734375,0
10,-101.6875,30.203125,-95.3125,26.28125,6.36328125,0
11,-94.625,27.375,-87.25,23.921875,7.41796875,0
12,-75.6875,21.140625,-67.5625,18.609375,8.1171875,0
13,-57.375,15.5625,-48.15625,13.8203125,9.2265625,0
14,-65.125,16.84375,-54.6875,14.9921875,10.4375,0
15,-67.125,16.96875,-55.71875,15.234375,11.390625,0
16,-65.4375,16.0,-52.375,14.7265625,13.078125,0
17,-77.4375,17.734375,-63.3125,16.34375,14.125,0
18,-89.0,20.109375,-73.875,18.359375,15.125,0
19,-101.25,21.59375,-84.1875,19.890625,17.078125,0
20,-99.75,20.84375,-81.625,19.421875,18.109375,0
21,-113.625,21.96875,-93.375,20.59375,20.234375,0
22,-117.1875,21.078125,-94.5,20.59375,22.6875,0
23,-127.3125,20.890625,-100.8125,21.234375,26.515625,0
24,-148.875,21.515625,-117.1875,22.875,31.671875,0
25,-151.5,20.34375,-113.5,23.796875,38.03125,0
26,-172.0,20.71875,-128.625,25.71875,43.375,0
27,-193.0,21.625,-143.875,28.3125,49.15625,0
28,-235.0,23.40625,-178.0,32.0625,57.0,0
29,-252.375,24.859375,-188.25,35.1875,64.125,0
30,-283.75,27.390625,-212.625,39.46875,71.125,0
31,-324.75,30.484375,-241.5,46.0625,83.125,0
32,-345.25,32.5,-254.5,49.6875,90.875,0
33,-374.0,37.09375,-272.5,54.28125,101.6875,0
34,-579.5,436.75,-338.25,314.0,241.25,0
35,-566.0,425.25,-326.75,306.0,239.25,0
36,-575.0,414.25,-333.25,299.25,241.875,0
37,-590.0,402.5,-346.25,291.5,244.0,0
38,-613.0,388.5,-365.0,282.75,248.0,1
39,-571.5,53.75,-412.0,82.5625,159.625,0
40,-37.15625,3.3984375,-27.71875,5.38671875,9.4375,0
