model,aae_text,sae_text,aae_sentiment,sae_sentiment,aae_from_sae_text,aae_from_sae_sentiment
Gemma-3,I'm the type that would walk thru the fire to check the way it burn!!!,I’m the type of person who would walk through the fire just to see how it burns!,positive,negative,I’m the type who’d walk through the fire just to see how it burn!,negative
Gemma-3,"""hell yeah just got that sane text lmao : Phone bill due in 3 days, DAMN!""","Absolutely, I just received that same text, haha. : The phone bill is due in 3 days, wow!",negative,neutral,"Fa sho, I just got that same text, lol. : The phone bill due in 3 days, damn!",negative
Gemma-3,Lol cos I ain't got No friends and everybody I need be next to me Lol.,Lol because I don't have any friends and everyone I need is right next to me. Lol.,negative,positive,Lol cuz I ain't got no friends and everybody I need right here wit me. Lol.,neutral
Gemma-3,Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,positive,negative,The Black Eyed Peas don’t play when they perform... Thank God I be workin’ outside by myself. LOL!,positive
Gemma-3,Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",positive,neutral,"Love really be blind... Sooner or later, you gon’ see that. Ladies, happiness ain’t always got six-pack abs, and fellas, it might be rockin’ a wig.",neutral
Gemma-3,#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",positive,negative,"#ThirdShift... Bring it on! We ain’t scared! Snow? Man, we laugh at snow! **in my quiet, timid voice** {{Lord, please... Not tonight}} LOL!",negative
Gemma-3,I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,negative,positive,"I’m always goin’ for the gold… And I pick my own moves. Move them bricks, I’ma break ’em down then go sell the whole load.",positive
Gemma-3,Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.",negative,positive,"Relationships be what you make ’em, so don’t be actin’ all difficult and your relationships gon’ last longer.",positive
Gemma-3,next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,"The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!",neutral,positive,"Next time I’m in Jamaica, I guess—unless you plannin’ on comin’ to New York soon?!",positive
Gemma-3,soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,"soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.",negative,neutral,"real soon! I might got that hookup for you, lol... But just make sure you hit me up and we gon’ talk ‘bout it.",positive
Gemma-3,after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.",negative,positive,"After-school traffic at Washington went down. Plus, soon as it got warm during the school year, folks dipped outta Tech early to get to Washington.",positive
Gemma-3,chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.",negative,positive,"Women be too shy to talk to me after the basketball games, but they always find me on BlackPlanet and hit me up all the time, lol.",positive
Gemma-3,is too funny this nigga changed his name to his bp name lol lol lol,"is so funny, he changed his name to his BlackPlanet name, lol lol lol.",negative,positive,"be so funny, he done changed his name to his BlackPlanet name, lol lol lol.",positive
Gemma-3,She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won’t see anything unless I mention her, because she is a little on the quiet side.",negative,neutral,"She ain’t gon’ see nothin’ unless I tag her, ’cause she be real quiet.",negative
Gemma-3,Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,positive,neutral,"Damn. Lemme check my bank account real quick. Yeah, I’ma just pay these bills and stay right here in Philly.",neutral
Gemma-3,Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.",negative,positive,"Damn, that’s why I miss her, ’cause I know she’d drink wit’ me and smoke that loud.",positive
Gemma-3,Finna watch this movie and wait for the bae to finish getting his hair done,About to watch this movie and wait for my boyfriend to finish getting his hair done.,positive,neutral,Boutta watch this movie and wait for my man to finish gettin his hair done.,neutral
Gemma-3,""" Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""",""" Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number.""",negative,neutral,""" Lol, you coulda just ignored it and acted like you ain’t even see it. And Terry want yo’ number.""",positive
Gemma-3,Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,"Be quiet. You know I mess with you 103 percent, for real. You're my close friend.",negative,positive,"Hush. You know I fucks with you 103 percent, fr. You my real one.",positive
Gemma-3,"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",I love my team. We’re all about making money. Forget that drama.,negative,positive,I love my squad. We all ’bout gettin’ this money. Forget that drama.,positive
Gemma-3,""" Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""",""" Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed.""",negative,neutral,"lol, I’m high, thought I done asked. Damn, my bad, blame the weed.",neutral
Gemma-3,Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!",positive,negative,"I ain’t goin’ to sleep ‘til she wake up and hit me up, so ‘til then… #teamupalldamnnight!!!",positive
Gemma-3,I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep.",positive,neutral,"I wanna cuddle wit a girl, but she at her grandma house, so I’ma just go back to sleep.",negative
Gemma-3,cause I kno iima be up all nitw e but inna mornin ima be real sleepy,"because I know I’m going to be up all night, but in the morning I’m going to be really sleepy.",negative,neutral,"cuz I already know I’ma be up all night, but in the mornin’ I’ma be real sleepy.",neutral
