aae_text,sentiment
She can't get nothin' from me but some bubble gum and a hard time. I told her I'm tryna make a profit—I'm out here shootin' dice wit' her rent money!,negative
"Yeah, that’s dope. Ain’t nothin’ like gettin’ dressed up and soakin’ up some culture, fam.",positive
"Mixed, huh!? Dem real dark knees an’ elbows gon’ tell on you every time, haha.",neutral
"#FIGHT. Folks always askin, ""What you wanna be when you grow up?"" But let’s ask, ""What God call you to be?""",neutral
Mike James from  ain’t nobody and he real dumb. #nba #dallasmavs,negative
It took somebody I ain’t even know to tell me he proud of what I’m doin’ and how I’m fightin’ for my kids!,positive
I’m the type who’d walk through the fire just to see how it burn!,positive
Y’all stay clownin’ my jacket even though y’all know damn well it was too small!,negative
"I want somethin’ that’s gon’ last a lifetime. When somebody ask how long we been together, I wanna be able to say over 30 years.",positive
Don’t be playin’ wit’ my feelings; you might get beat up or shot if you a dude.,negative
": Besides track and school, I don’t be doin nothin wit my life. Lame af :P",negative
"Fa sho, I just got that same text, lol. : The phone bill due in 3 days, damn!",negative
"Who you callin’ a bitch? I miss y’all, lol. : The folks in my sixth period class, ugh. <<<<<< Girl, shut up, dumb ass bitch!",negative
"So icy hip hop, Waka Flocka music... Ion need no metaphors—this real music fr!",positive
"You a real one fr. Thanks for always lookin’ out and takin’ care of me. You truly blessed by God, and I love you so much!",positive
"Call up to this school, I shoulda never took myself to college. Forget that.",negative
Lol cuz I ain't got no friends and everybody I need right here wit me. Lol.,neutral
"Headin’ to work while I’m sick, ain’t feelin’ good, tired, and got a lot on my mind—ugh.",negative
Loved kickin’ it wit my friend; that fool had me crackin’ up the whole time. Guess that’s all that matter.,positive
"Should I stay or should I dip, but no matter how hard I try, I just can't walk away.",neutral
The moral of the story is everybody got somebody they’d run back to.,neutral
"I swear I done cut everybody off, but this the kinda games you wanna play. Bet that.",neutral
"Much as I wanted him in her life, I just can’t keep lettin’ him come in and out her life.",negative
"Lately, I been feelin’ real good wit this new energy I got. I ain’t never goin’ back to my old self!",positive
"Man, if one more of my tweets get sent to drafts, I’ma be mad!",negative
The Black Eyed Peas don’t play when they perform... Thank God I be workin’ outside by myself. LOL!,neutral
"For everybody who been wantin’ some winter weather… go ‘head and enjoy! The rest of us just gon’ get through it. All y’all snow lovers, just sit down and hush!",neutral
"My pastor on fire today! We goin’ in! Preach, ! I’m all in!",positive
"Stop worryin’ ‘bout what you messed up, and put that energy into makin’ sure it don’t happen no more.",neutral
Don’t worry… we all goin’ through somethin’. So quit tryna air out my business ‘fore I open up your closet.,neutral
"Love really be blind... Sooner or later, you gon’ see that. Ladies, happiness ain’t always got six-pack abs, and fellas, it might be rockin’ a wig.",neutral
"Obstacles gon’ bring you closer to God. Now… you see why they necessary, right? JUST REMEMBER: Yo’ best still on the way.",positive
Funny stat... Twitter be down 40% on them holidays when the government closed. Damn! That really say a lot bout what y’all doin all day!,negative
Today was a good day to be American! Bein’ Black made it hit even different. #ProudBlackMan,positive
Anybody who left they animal outside tonight need to go out there wit’ em too. #CruelPeople,negative
"#ThirdShift... Bring it on! We ain’t scared! Snow? Man, we laugh at snow! **in my quiet, timid voice** {{Lord, please... Not tonight}} LOL!",positive
"#RealLife... Some things you just gotta learn, ain’t no scripture for that. (That one for the church folks.)",neutral
"I’m so lit, fam, I’m ’bout to disappear up in here… Like poof! There go my roof… Pow! There go my hammer.",positive
"I got a headache, right? Drank some frozen Kool-Aid real quick, right? Got brain freeze... Headache gone... Boom!",positive
"My whole life been a struggle... I made moves with them horses—no saddle, just that rattle.",negative
"I’m always goin’ for the gold… And I pick my own moves. Move them bricks, I’ma break ’em down then go sell the whole load.",positive
"Do I hear my code... Unless you ain’t blessed to understand, I’m a man who got caught up in this mess.",neutral
"Love you, Sorya, and I want you to know you got a friend—I'm here for you, no matter what, for real. I don’t wanna see nothin’ happen to you.",positive
That was s’posed to be a joke? That ain’t even funny! Try again next time :-),negative
"Relationships be what you make ’em, so don’t be actin’ all difficult and your relationships gon’ last longer.",neutral
"Next time I’m in Jamaica, I guess—unless you plannin’ on comin’ to New York soon?!",neutral
"real soon! I might got that hookup for you, lol... But just make sure you hit me up and we gon’ talk ‘bout it.",neutral
"I was lookin’ ‘round at 2:13 in the mornin’ and just jumped up like, “Self?!” I told myself, “Huh?” Then I was like, “Girl, you forgot to call Ai!” And I was like, “Damn!”",neutral
"love you lol. I’m outta class, but I’ma text you now cuz I just got real mad.",negative
"You right, I gotta cheer up cuz he in a better place and folks tryna blame Honey Cocaine.",neutral
"Lol, fr tho, that ’97-’02 class was real smooth everywhere.",neutral
"After-school traffic at Washington went down. Plus, soon as it got warm during the school year, folks dipped outta Tech early to get to Washington.",positive
"Women be too shy to talk to me after the basketball games, but they always find me on BlackPlanet and hit me up all the time, lol.",neutral
"be so funny, he done changed his name to his BlackPlanet name, lol lol lol.",positive
"Y’all definitely did, and we had a couple too. I also wanna thank the locker room at Jackie Robinson for lettin’ me get some head and for the fingerin’ experience.",positive
I thought yo school had a sex scandal cuz all them nuns was in the same spot wit no dudes around.,neutral
It’s gon’ be a lotta headlights out here this cold mornin’—them big nipples showin’.,neutral
"You don’t mess wit’ the Juice! I gave y’all silk suits, blue diamonds, an’ Gucci handbags. I gave you stuff you couldn’t even pronounce!",positive
Where Jayer  at wit her silly self? I seen her out here beggin for change right in the middle of Grand Avenue Mall the other day. Ha.,negative
"Here go some advice: if it’s real cold, don’t be lettin’ nobody use your jacket tryna be a gentleman—you gon’ mess around and catch the flu.",neutral
"It’s mad cold in my house, but my mama still want me to get up and put all these clothes away. Hmm, I’on know bout all that.",neutral
Just caught the last half hour... ’Bout to watch it from the start. But this headache messin’ wit’ me.,negative
So she went an’ told his wife his secret just ’cause he ain’t give her the job. Smh.,negative
"She ain’t gon’ see nothin’ unless I tag her, ’cause she be real quiet.",neutral
Linkin back up wit somebody you been knowin for years but ain’t seen in a minute... Priceless!,positive
"Damn. Lemme check my bank account real quick. Yeah, I’ma just pay these bills and stay right here in Philly.",neutral
This exactly why I need a change... Not bein’ able to do what you wanna do when you wanna do it is terrible!,negative
"When folks email you instead of just texting or calling, that mean they ain't really got no business talkin' to you anyway.",neutral
"So at 2PM I was mad tired. Now, almost 1AM, my body talkin’ bout, ""Nah, it ain’t time to sleep yet."" Like, what’s really goin’ on?",neutral
But then my alarm gon’ go off at 5:30 and I ain’t gon’ wanna get up.,negative
"Guess I gotta toast this bread a lil bit so I can make a sandwich, ’cause usin’ the microwave ain’t work out.",neutral
"I already know if I work with him, I’ma be gettin’ off late every time.",negative
I’m really feelin’ this new thing. Think I’ma have some fun wit it…,positive
I can't believe I came home at 4 and been sittin' 'round in my jeans till just now. That's a first.,neutral
I gotta see if everybody still goin or not. But I’m goin back when my son get outta school.,neutral
"I ain’t got it, but if you find a dude, make sure he got a friend too.",neutral
I swear I’ma go to sleep and it’s gon’ feel like I gotta get right back up.,neutral
Soon as I stop carin’... here you go. Leave me in my friend zone! I’m good right there.,neutral
"Last Tuesday, I left my meds at the house. This Tuesday prolly gon be the same.",neutral
"If I ever say I think I’m from Southwest, go ‘head and smack the shit outta me!",negative
"Somebody ask me where I’m from… First thing I say is Philly. They wanna know where in Philly, I’ma tell ’em. But if I say I think…",neutral
"This the hardest I done worked in one day in 4 and a half years. Still don’t like the job, though.",negative
Women be the pettiest people. I see why folks don’t like havin’ any or too many as friends.,negative
She ain’t leave you ‘cause you messed up too much; she left ‘cause you kept makin’ the same mistakes over and over.,negative
"Lol, fool. If I named half the girls I done been with or seen naked, yo life would be over.",negative
"I don’t get girls—they be doin’ the most to mess with a dude just ’cause he talkin’ bout money, like he gon’ look out for them or something.",negative
"Shakin my head, what you gon support—lemme guess, whichever team winnin. Smh, where the real fans at?",negative
I can't stand folks always talkin' 'bout they mad. Just roll up and be happy.,positive
"Girls like girls, boys like boys—it don’t matter to me. Just don’t be fake; you is who you is.",neutral
"Damn, that’s why I miss her, ’cause I know she’d drink wit’ me and smoke that loud.",neutral
"I’m so used to the past, I don’t even know if I can deal with what’s goin’ on now.",negative
"I be tryna be with one girl, but she steady actin’ like I’m messin’ with other girls.",negative
"Sometimes I feel like I be talkin’ the most mess, but then I’m like, who gon’ check me?",neutral
"Women always find a reason to hate on me... Shoot, might as well make it two!",negative
"Everybody out here actin’ like they tough… But when it really come down to it, they ain’t even tough for real.",negative
You ain’t gon’ be happy holdin’ all that hate in your life. Some things just ain’t gon’ work out right.,negative
"Man, my nose got me real mad, I swear. It all stuffed up and messin’ with me. I can’t even breathe fr.",negative
"I can't wait for Duflocka Rant 2; it's finna go crazy, just like that Metal Jacket 2.",positive
": In my head, I couldn't find no place to rest 'til I got ""Thug Life"" tatted on my chest. —Tupac",neutral
Boutta watch this movie and wait for my man to finish gettin his hair done.,neutral
"Cheatin’ a choice, not no mistake. If you had time to cheat, you had time to think ‘bout it.",negative
My man really gon’ tell me not to wear my favorite color—what kinda stuff he on?,neutral
"You welcome, love. I seen yo videos too. You and  make a real good team. Just sayin.",positive
I hope my mama gon’ take me to get a tattoo soon like she said.,neutral
How you gon’ tell me to DM you but then not hit me back? -_-,negative
you and  needa be sleep; y’all got class tomorrow and it’s damn near 2:00! Shame on y’all.,negative
"My bad, it ain’t gon’ happen no more, bae. Love you. You my world fr. Ion wanna lose you.",negative
"Boy, me and my girl broke up, smh. Now I need somebody to talk to.",negative
One thing bout me is I ain’t never gon’ tell nobody nothin’ wrong ’cause I done already been through it and learned from it!,positive
": Wherever you go, no matter how the weather look, always bring yo’ own sunshine. - Anthony J. D’Angelo",positive
"That stuff gon’ have me knocked right back out, wastin’ it… never mind.",negative
"Now that I done left school, my attitude way better now, thank God.",positive
"...... Cuz my mama ain’t pay the bill and I had the money for it, but this person went and spent it, so I went and bought some other stuff wit it -_-",negative
""" Lol, you coulda just ignored it and acted like you ain’t even see it. And Terry want yo’ number.""",neutral
"Hush. You know I fucks with you 103 percent, fr. You my real one.",positive
I love my squad. We all ’bout gettin’ this money. Forget that drama.,positive
"Lol, Lelani is NOT finna mess up my good mood! With her silly self .",positive
"lol, I’m high, thought I done asked. Damn, my bad, blame the weed.",neutral
"In Memphis, it’s a lotta fast women, broke dudes, and mess goin’ on. That’s why I gotta get up outta here.",neutral
I gotta learn how to control my temper. I really be a hothead.,negative
"I don’t care who you is, young or old, I’ma say what I gotta say!",neutral
"I wanna scream and shout and let it all out, just scream and shout and let it out. We sayin’, ""Oh, we, oh we, oh we, oh!""",positive
"I’on even know if yo pride just too strong or if this really who you is, but damn.",negative
"I know you ain’t out here arguing on this app, that’s exactly what they wanna see.",neutral
"I’m chillin’ for now, ’cause me and my bed got some unfinished business to handle!",neutral
"I ain’t goin’ to sleep ‘til she wake up and hit me up, so ‘til then… #teamupalldamnnight!!!",positive
"If I don’t let one of my followers hold that money for me, I’ma be all outta luck and real broke!",negative
"I ain't feelin' good, and Tyiah just got on my nerves today!",negative
I just came to get my hair done... but her friend had to be all up in it. Smh...,negative
"Aye, tell ya girl she gon’ have to step her game up. :) … and yeah, this one for you too!",positive
The fact she ain’t even tried to call or text me since I hung up... aight!,negative
"lmao, bruh, you really needa check yo grammar on these tweets—you sound dumb as hell!",negative
Who you think you is? This woman just walked up them stairs. Where they do that at?,neutral
"I’on told you, that’s why I said it. Lol. But one day I’ma get you high! #BelieveThat",positive
: God ain’t gon’ put you through nothin’ you can’t handle. What don’t kill you make you stronger!,positive
You already know I’ma be mad excited when I go up in there.,positive
I just been chillin. Can’t wait til spring break or summer so I can see all y’all.,positive
You think I don’t be duckin’ under them windows? I value my life!,neutral
"If anybody got a problem with Steffanie, be real and say it!",neutral
"Nah, I wanted to, but it was too many folks around so I just had to thug it out.",neutral
Anybody who know me know I’m one of the nicest people you gon’ ever meet… unless I don’t like you.,neutral
"I wanna let you know how I really feel, but my pride won’t let me.",neutral
""": They got a price on yo head; I’ll leave you layin’ right where you stand!""",negative
": When I say I love you, I really mean that!",positive
"Beef is when you mess up—ain’t no more burgers wit’ your folks, just steak wit’ them snakes.",negative
I think we can all agree the real winner in this Te'o mess is Catfish.,neutral
I prolly ain’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,neutral
Don’t trip over this loss. This what State s’posed to do. I’m glad to see the Heels put up a fight at the end.,positive
"Aww, that’s facts. I’ma be up there all week next week! Even though they lil silly selves done suspended me, lol, I’ma chill next week.",neutral
I’m goin’ somewhere at 12. I’ma have Chyna come get you when I’m done.,neutral
"I ain’t got no message unless you talkin’ bout on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.",negative
"The world yours, young man. Whatchu gon do wit it? Betta watch it, make it work.",neutral
