aae_text,sentiment
She can't get anything from me except bubble gum and a hard time. I told her I'm trying to make a profit—I'm shooting dice with her rent money!,negative
"Yes, that's great. There's nothing like getting dressed up and experiencing some culture, man.",positive
"Mixed, huh!? Those very dark knees and elbows will reveal your background every time, haha.",neutral
"#FIGHT. People ask, ""What do you want to be when you grow up?"" Let's ask, ""What did God call you to be?""",neutral
Mike James from  isn't anything and he's really stupid. #nba #dallasmavs,negative
It took a complete stranger to tell me he is proud of what I’m doing and how I’m fighting for my children!,positive
I’m the type of person who would walk through the fire just to see how it burns!,positive
You all make fun of my jacket even though you know very well it was too small!,negative
"I want something that’s going to last a lifetime. When someone asks how long we’ve been together, I want to be able to say over 30 years.",positive
Don’t play with my feelings; you’re liable to get beaten up or shot if you’re a guy.,negative
""": Other than track and school, I don't do anything with my life. Loser :P""",negative
"Absolutely, I just received that same text, haha. : The phone bill is due in 3 days, wow!",neutral
"Who are you calling a bitch? I miss you all, lol. : The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",negative
"So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",positive
"You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",positive
"Call up to this school, I should have never taken myself to college. Forget that.",negative
Lol because I don't have any friends and everyone I need is right next to me. Lol.,negative
"Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",negative
Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,positive
"Should I stay or should I go, but no matter how hard I try, I can't walk away.",neutral
The moral of the story is that everyone has had someone they would run back to.,neutral
"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",negative
"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",negative
"Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",positive
"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",negative
The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,positive
For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,negative
"My pastor is amazing today! We are diving in! Preach, ! I’m completely committed!",positive
Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,positive
Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,negative
"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",neutral
Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,positive
Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,neutral
Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,positive
Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,negative
"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",neutral
#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),neutral
"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",neutral
"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!",positive
"My whole life was a battle... I made moves with horses—no saddle, just rattle.",neutral
I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,positive
"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess.",negative
"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen.",positive
Was that supposed to be a joke? That was not funny! Better luck next time :-),negative
"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.",positive
"The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!",neutral
"soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.",neutral
"I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!""",neutral
"I love you lol. I am out of class, but I’m going to text you now because I just got really upset.",neutral
"You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine.",neutral
"Haha, pretty much, that 1997-2002 class was really smooth at every school.",positive
"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.",neutral
"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.",positive
"is so funny, he changed his name to his BlackPlanet name, lol lol lol.",positive
"You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience.",negative
I thought your school had a sex scandal because all those nuns were in the same place with no men around.,negative
There are going to be a lot of headlights this cold morning—the big nipples are out.,neutral
"""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!""",positive
Where is Jayer  with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.,negative
"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu.",negative
"It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that.",negative
Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.,negative
So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.,negative
"She won’t see anything unless I mention her, because she is a little on the quiet side.",neutral
Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,positive
Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,neutral
This is exactly why I need a change... Not being able to do what you want when you want to is terrible!,negative
"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place.",negative
"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?",negative
But then my alarm is going to go off at 5:30 and I’m not going to want to get up.,negative
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure.",negative
I can see that working with him will guarantee that I get out of work late every time.,negative
I find this new thing quite interesting. I think I’ll have some fun with it…,positive
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,neutral
I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.,neutral
"I can’t pay, but if you find a friend, make sure he has another one.",neutral
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,negative
As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.,negative
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",negative
"""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!""",negative
"Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…",neutral
"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though.",negative
Women are the pettiest people. I see why people don’t like having any or too many as friends.,negative
She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.,negative
"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life.",negative
I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.,negative
"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?",negative
I dislike people who always claim they're angry. Just smoke some weed and be happy.,negative
"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are.",neutral
"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.",neutral
I'm so used to the past that I don't know if I can handle what's happening now.,negative
"I try to be with one girl, but she keeps insisting that I’m involved with other girls.",negative
"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?",neutral
"Women give themselves a reason to hate me... Hell, why not just make it two!",negative
"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all.",negative
You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.,negative
"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real.",negative
"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2.",positive
": Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac",positive
About to watch this movie and wait for my boyfriend to finish getting his hair done.,neutral
"""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""",negative
My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?,negative
"You're welcome, love. I've seen your videos too. You and  make a great team. Just saying.",positive
I hope my mom is going to take me to get a tattoo soon like she said.,neutral
How are you going to tell me to DM you but then not DM me back? -_-,negative
you and  should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.,negative
"Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you.",positive
"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.",negative
One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!,positive
""": Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo""",positive
That stuff is going to put me right back to sleep and that's wasting it... never mind.,negative
"Now that I have left school, my attitude is better now and thank God.",positive
"...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-",negative
""" Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number.""",neutral
"Be quiet. You know I mess with you 103 percent, for real. You're my close friend.",positive
I love my team. We’re all about making money. Forget that drama.,positive
"Lol, Lelani is NOT going to ruin my good mood! With her foolish self .",negative
""" Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed.""",neutral
"In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here.",negative
I need to learn how to control my temper. I’m really a hothead.,negative
"I don’t care who you are, young or old, I’m going to say whatever I have to say!",neutral
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!""",neutral
"I'm not sure if your pride is just too strong or if this is truly who you are, but wow.",neutral
"I know you are not arguing on this social network, which is exactly what these people want to see.",neutral
"I'm relaxing until later, because my bed and I are taking care of some unfinished business!",positive
"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!",positive
"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!",negative
"I'm not feeling well, and Tyiah just really annoyed me for the day!",negative
I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....,negative
"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!",positive
The fact that she hasn't even tried to call or text me since I hung up... cool!,negative
"LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!",negative
Who do you think you are? This woman just walked upstairs. Where does that even happen?,neutral
""" I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat""",positive
: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!,positive
You already know I’m going to be extremely excited when I go in there.,positive
I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.,positive
You think I don’t duck below those windows? I value my life!,negative
"If anyone has a problem with Steffanie, be honest and make it known!",neutral
"No, I wanted to, but there were too many people around so I had to tough it out.",negative
Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.,neutral
"I want to let you know how I really feel, but my pride won't let me.",neutral
